000002.SZ,万科A,2011-3-23
000039.SZ,中集集团,2010-9-2
000046.SZ,泛海控股,2006-9-28
000063.SZ,中兴通讯,2017-4-25
000063.SZ,中兴通讯,2013-8-27
000100.SZ,TCL集团,2011-1-29
000333.SZ,美的集团,2015-4-29
000333.SZ,美的集团,2017-3-31
000333.SZ,美的集团,2014-1-13
000333.SZ,美的集团,2016-5-26
000523.SZ,广州浪奇,2012-6-29
000540.SZ,中天金融,2013-7-18
000558.SZ,莱茵体育,2015-8-1
000566.SZ,海南海药,2006-9-29
000568.SZ,泸州老窖,2010-1-23
000609.SZ,绵石投资,2016-2-27
000615.SZ,京汉股份,2017-8-18
000625.SZ,长安汽车,2016-3-31
000650.SZ,仁和药业,2013-1-23
000669.SZ,金鸿控股,2015-7-23
000671.SZ,阳光城,2012-7-24
000690.SZ,宝新能源,2006-7-21
000716.SZ,黑芝麻,2017-5-20
000818.SZ,方大化工,2012-7-27
000826.SZ,启迪桑德,2014-11-14
000826.SZ,启迪桑德,2010-8-11
000893.SZ,东凌国际,2013-6-26
000921.SZ,海信科龙,2011-6-11
000926.SZ,福星股份,2006-9-22
000936.SZ,华西股份,2016-3-15
000948.SZ,南天信息,2010-3-19
000961.SZ,中南建设,2011-11-26
000967.SZ,盈峰环境,2016-2-22
000969.SZ,安泰科技,2008-12-30
000976.SZ,华铁股份,2016-12-20
000977.SZ,浪潮信息,2015-2-28
001979.SZ,招商蛇口,2016-11-29
002002.SZ,鸿达兴业,2014-7-10
002003.SZ,伟星股份,2013-6-14
002003.SZ,伟星股份,2006-6-27
002004.SZ,华邦健康,2015-8-5
002008.SZ,大族激光,2012-10-10
002010.SZ,传化智联,2017-9-2
002010.SZ,传化智联,2016-3-29
002011.SZ,盾安环境,2010-1-19
002014.SZ,永新股份,2006-8-31
002021.SZ,中捷资源,2006-4-27
002022.SZ,科华生物,2015-6-6
002028.SZ,思源电气,2012-9-4
002029.SZ,七匹狼,2010-11-23
002032.SZ,苏泊尔,2006-6-29
002038.SZ,双鹭药业,2006-4-28
002042.SZ,华孚时尚,2014-3-11
002042.SZ,华孚时尚,2011-7-21
002045.SZ,国光电器,2006-6-29
002051.SZ,中工国际,2017-7-17
002054.SZ,德美化工,2008-7-17
002055.SZ,得润电子,2008-5-13
002063.SZ,远光软件,2009-11-24
002065.SZ,东华软件,2011-12-31
002069.SZ,獐子岛,2015-3-10
002073.SZ,软控股份,2014-7-14
002079.SZ,苏州固锝,2010-8-21
002081.SZ,金螳螂,2008-7-11
002089.SZ,新海宜,2012-8-15
002090.SZ,金智科技,2013-6-18
002091.SZ,江苏国泰,2013-2-26
002098.SZ,浔兴股份,2011-5-21
002099.SZ,海翔药业,2010-6-29
002103.SZ,广博股份,2016-7-27
002104.SZ,恒宝股份,2014-4-25
002116.SZ,中国海诚,2013-12-13
002116.SZ,中国海诚,2012-3-6
002121.SZ,科陆电子,2013-11-13
002124.SZ,天邦股份,2013-1-22
002130.SZ,沃尔核材,2012-1-17
002130.SZ,沃尔核材,2017-2-13
002137.SZ,麦达数字,2014-2-20
002139.SZ,拓邦股份,2013-3-28
002146.SZ,荣盛发展,2010-7-13
002148.SZ,北纬科技,2010-11-24
002150.SZ,通润装备,2016-10-31
002151.SZ,北斗星通,2016-10-15
002151.SZ,北斗星通,2009-7-11
002153.SZ,石基信息,2016-8-22
002154.SZ,报喜鸟,2008-10-21
002157.SZ,正邦科技,2016-5-18
002157.SZ,正邦科技,2017-5-23
002161.SZ,远望谷,2016-10-1
002161.SZ,远望谷,2012-2-9
002168.SZ,深圳惠程,2015-10-14
002170.SZ,芭田股份,2010-9-18
002172.SZ,澳洋科技,2016-8-17
002174.SZ,游族网络,2011-6-3
002174.SZ,游族网络,2017-7-18
002176.SZ,江特电机,2013-2-7
002176.SZ,江特电机,2017-5-18
002183.SZ,怡亚通,2013-10-25
002194.SZ,武汉凡谷,2010-3-6
002200.SZ,云投生态,2008-6-3
002206.SZ,海利得,2014-1-17
002206.SZ,海利得,2017-6-17
002216.SZ,三全食品,2014-2-8
002221.SZ,东华能源,2014-4-4
002224.SZ,三力士,2014-7-9
002225.SZ,濮耐股份,2012-8-3
002227.SZ,奥特迅,2013-9-4
002230.SZ,科大讯飞,2011-12-13
002230.SZ,科大讯飞,2014-11-11
002235.SZ,安妮股份,2017-6-9
002241.SZ,歌尔股份,2013-11-28
002245.SZ,澳洋顺昌,2014-1-11
002249.SZ,大洋电机,2014-12-10
002249.SZ,大洋电机,2017-3-18
002250.SZ,联化科技,2011-12-10
002252.SZ,上海莱士,2014-8-14
002256.SZ,兆新股份,2013-12-4
002264.SZ,新华都,2010-11-26
002269.SZ,美邦服饰,2010-10-12
002277.SZ,友阿股份,2011-9-29
002283.SZ,天润曲轴,2014-10-28
002285.SZ,世联行,2017-8-30
002292.SZ,奥飞娱乐,2014-6-4
002293.SZ,罗莱生活,2013-5-4
002298.SZ,中电鑫龙,2011-5-17
002305.SZ,南国置业,2011-6-28
002308.SZ,威创股份,2011-6-9
002310.SZ,东方园林,2016-5-25
002310.SZ,东方园林,2011-1-11
002310.SZ,东方园林,2014-8-18
002311.SZ,海大集团,2014-8-27
002311.SZ,海大集团,2011-4-19
002324.SZ,普利特,2011-8-25
002327.SZ,富安娜,2012-2-7
002327.SZ,富安娜,2011-1-25
002334.SZ,英威腾,2013-7-4
002335.SZ,科华恒盛,2014-9-2
002341.SZ,新纶科技,2017-1-18
002369.SZ,卓翼科技,2017-9-21
002372.SZ,伟星新材,2011-11-19
002373.SZ,千方科技,2012-6-21
002375.SZ,亚厦股份,2011-4-19
002383.SZ,合众思壮,2012-2-1
002383.SZ,合众思壮,2017-8-30
002385.SZ,大北农,2011-11-23
002389.SZ,南洋科技,2014-2-28
002397.SZ,梦洁股份,2016-3-30
002397.SZ,梦洁股份,2013-10-26
002400.SZ,省广股份,2015-9-16
002400.SZ,省广股份,2016-3-31
002416.SZ,爱施德,2014-6-19
002416.SZ,爱施德,2012-3-31
002426.SZ,胜利精密,2012-6-12
002431.SZ,棕榈股份,2013-4-15
002436.SZ,兴森科技,2011-7-12
002450.SZ,康得新,2012-11-5
002450.SZ,康得新,2011-1-28
002450.SZ,康得新,2014-2-24
002452.SZ,长高集团,2016-11-17
002452.SZ,长高集团,2013-1-15
002458.SZ,益生股份,2014-4-2
002458.SZ,益生股份,2017-3-9
002469.SZ,三维工程,2012-6-16
002470.SZ,金正大,2014-8-26
002482.SZ,广田集团,2011-11-11
002514.SZ,宝馨科技,2015-4-16
002519.SZ,银河电子,2011-12-29
002528.SZ,英飞拓,2013-5-17
002528.SZ,英飞拓,2016-5-23
002532.SZ,新界泵业,2014-12-16
002548.SZ,金新农,2013-1-11
002556.SZ,辉隆股份,2017-9-14
002567.SZ,唐人神,2012-2-18
002573.SZ,清新环境,2014-11-25
002577.SZ,雷柏科技,2015-1-9
002583.SZ,海能达,2013-8-15
002587.SZ,奥拓电子,2017-7-11
002593.SZ,日上集团,2014-5-27
002593.SZ,日上集团,2017-7-13
002593.SZ,日上集团,2017-3-14
002596.SZ,海南瑞泽,2014-1-24
002603.SZ,以岭药业,2013-5-6
002614.SZ,奥佳华,2017-6-22
002624.SZ,完美世界,2015-6-2
002631.SZ,德尔未来,2013-11-5
002640.SZ,跨境通,2017-8-21
002640.SZ,跨境通,2015-3-5
002650.SZ,加加食品,2015-5-28
002661.SZ,克明面业,2014-4-22
002663.SZ,普邦股份,2013-8-8
002668.SZ,奥马电器,2016-2-22
002717.SZ,岭南园林,2015-1-12
002724.SZ,海洋王,2017-1-24
002781.SZ,奇信股份,2016-3-26
002821.SZ,凯莱英,2016-12-30
002825.SZ,纳尔股份,2017-1-16
002870.SZ,香山股份,2017-10-12
300002.SZ,神州泰岳,2012-8-21
300005.SZ,探路者,2010-11-30
300005.SZ,探路者,2012-5-24
300008.SZ,天海防务,2014-6-28
300010.SZ,立思辰,2016-7-9
300010.SZ,立思辰,2013-8-2
300011.SZ,鼎汉技术,2016-1-1
300011.SZ,鼎汉技术,2016-5-5
300011.SZ,鼎汉技术,2013-2-8
300012.SZ,华测检测,2011-12-31
300014.SZ,亿纬锂能,2017-1-5
300014.SZ,亿纬锂能,2012-2-24
300015.SZ,爱尔眼科,2011-4-26
300017.SZ,网宿科技,2014-6-18
300017.SZ,网宿科技,2011-7-7
300017.SZ,网宿科技,2015-7-25
300017.SZ,网宿科技,2016-3-2
300017.SZ,网宿科技,2012-7-31
300020.SZ,银江股份,2017-8-3
300020.SZ,银江股份,2011-12-23
300020.SZ,银江股份,2015-10-23
300022.SZ,吉峰农机,2016-5-28
300027.SZ,华谊兄弟,2012-9-18
300034.SZ,钢研高纳,2012-12-11
300043.SZ,星辉娱乐,2011-5-25
300043.SZ,星辉娱乐,2017-7-28
300045.SZ,华力创通,2010-11-13
300047.SZ,天源迪科,2011-12-27
300052.SZ,中青宝,2012-11-27
300054.SZ,鼎龙股份,2012-5-14
300058.SZ,蓝色光标,2016-3-1
300058.SZ,蓝色光标,2011-4-1
300059.SZ,东方财富,2014-9-18
300059.SZ,东方财富,2011-5-12
300061.SZ,康旗股份,2014-11-11
300062.SZ,中能电气,2016-8-2
300062.SZ,中能电气,2012-4-18
300067.SZ,安诺其,2013-11-19
300068.SZ,南都电源,2012-10-16
300068.SZ,南都电源,2015-1-20
300070.SZ,碧水源,2016-4-15
300070.SZ,碧水源,2014-4-10
300070.SZ,碧水源,2011-3-31
300071.SZ,华谊嘉信,2015-12-31
300072.SZ,三聚环保,2013-12-13
300074.SZ,华平股份,2014-3-19
300075.SZ,数字政通,2011-12-21
300079.SZ,数码科技,2015-4-27
300082.SZ,奥克股份,2014-8-7
300083.SZ,劲胜智能,2011-11-22
300083.SZ,劲胜智能,2014-4-25
300085.SZ,银之杰,2013-7-30
300087.SZ,荃银高科,2015-1-7
300090.SZ,盛运环保,2016-1-29
300094.SZ,国联水产,2013-10-22
300095.SZ,华伍股份,2013-8-13
300097.SZ,智云股份,2017-1-5
300097.SZ,智云股份,2013-4-2
300100.SZ,双林股份,2014-1-15
300104.SZ,乐视网,2011-9-15
300104.SZ,乐视网,2013-8-3
300104.SZ,乐视网,2015-9-24
300107.SZ,建新股份,2017-8-2
300107.SZ,建新股份,2013-11-6
300113.SZ,顺网科技,2014-2-28
300115.SZ,长盈精密,2014-1-21
300116.SZ,坚瑞沃能,2012-5-25
300117.SZ,嘉寓股份,2012-7-25
300119.SZ,瑞普生物,2012-1-5
300121.SZ,阳谷华泰,2012-7-31
300122.SZ,智飞生物,2013-5-4
300124.SZ,汇川技术,2013-1-16
300130.SZ,新国都,2017-4-25
300130.SZ,新国都,2014-4-10
300130.SZ,新国都,2015-12-2
300133.SZ,华策影视,2017-5-17
300133.SZ,华策影视,2011-11-30
300136.SZ,信维通信,2013-5-8
300141.SZ,和顺电气,2012-2-2
300145.SZ,中金环境,2013-5-21
300145.SZ,中金环境,2016-10-25
300146.SZ,汤臣倍健,2013-1-18
300149.SZ,量子高科,2017-6-13
300152.SZ,科融环境,2017-1-4
300166.SZ,东方国信,2013-2-7
300168.SZ,万达信息,2011-9-20
300168.SZ,万达信息,2014-3-22
300177.SZ,中海达,2011-9-14
300182.SZ,捷成股份,2016-11-29
300182.SZ,捷成股份,2012-7-13
300183.SZ,东软载波,2012-8-30
300184.SZ,力源信息,2014-11-5
300197.SZ,铁汉生态,2017-9-6
300197.SZ,铁汉生态,2013-4-2
300198.SZ,纳川股份,2012-3-5
300201.SZ,海伦哲,2015-4-28
300208.SZ,恒顺众昇,2011-6-30
300213.SZ,佳讯飞鸿,2011-12-29
300218.SZ,安利股份,2013-9-11
300219.SZ,鸿利智汇,2014-2-24
300221.SZ,银禧科技,2014-10-16
300223.SZ,北京君正,2016-3-12
300228.SZ,富瑞特装,2012-6-19
300228.SZ,富瑞特装,2017-2-11
300229.SZ,拓尔思,2011-12-24
300232.SZ,洲明科技,2013-11-6
300236.SZ,上海新阳,2012-2-9
300241.SZ,瑞丰光电,2012-11-9
300242.SZ,明家联合,2015-11-27
300243.SZ,瑞丰高材,2013-9-17
300244.SZ,迪安诊断,2013-4-13
300247.SZ,乐金健康,2016-3-8
300250.SZ,初灵信息,2014-3-11
300253.SZ,卫宁健康,2012-7-26
300253.SZ,卫宁健康,2014-10-9
300253.SZ,卫宁健康,2016-12-10
300262.SZ,巴安水务,2016-6-15
300263.SZ,隆华节能,2012-5-15
300267.SZ,尔康制药,2014-1-30
300269.SZ,联建光电,2016-2-5
300271.SZ,华宇软件,2012-5-10
300274.SZ,阳光电源,2013-8-13
300279.SZ,和晶科技,2017-3-21
300281.SZ,金明精机,2014-3-11
300282.SZ,汇冠股份,2016-11-12
300284.SZ,苏交科,2013-4-11
300285.SZ,国瓷材料,2012-10-16
300295.SZ,三六五网,2017-8-23
300296.SZ,利亚德,2012-10-31
300298.SZ,三诺生物,2013-11-19
300299.SZ,富春股份,2013-1-5
300300.SZ,汉鼎宇佑,2014-1-28
300305.SZ,裕兴股份,2014-12-15
300306.SZ,远方信息,2013-7-11
300315.SZ,掌趣科技,2014-3-8
300322.SZ,硕贝德,2014-8-2
300323.SZ,华灿光电,2017-3-3
300326.SZ,凯利泰,2015-1-6
300328.SZ,宜安科技,2016-2-29
300328.SZ,宜安科技,2013-12-27
300331.SZ,苏大维格,2013-12-26
300335.SZ,迪森股份,2014-8-30
300347.SZ,泰格医药,2013-10-31
300354.SZ,东华测试,2015-9-8
300362.SZ,天翔环境,2016-10-10
300362.SZ,天翔环境,2017-6-3
300364.SZ,中文在线,2015-5-12
300364.SZ,中文在线,2016-4-14
300364.SZ,中文在线,2015-6-11
300369.SZ,绿盟科技,2014-4-14
300369.SZ,绿盟科技,2017-8-18
300370.SZ,安控科技,2015-8-18
300378.SZ,鼎捷软件,2017-7-27
300379.SZ,东方通,2015-8-20
300380.SZ,安硕信息,2017-2-28
300382.SZ,斯莱克,2015-1-22
300382.SZ,斯莱克,2016-10-28
300383.SZ,光环新网,2016-3-15
300388.SZ,国祯环保,2016-10-21
300389.SZ,艾比森,2017-8-9
300409.SZ,道氏技术,2017-7-28
300409.SZ,道氏技术,2017-9-30
300409.SZ,道氏技术,2017-4-24
300418.SZ,昆仑万维,2015-3-31
300431.SZ,暴风集团,2016-3-19
300447.SZ,全信股份,2016-2-3
300451.SZ,创业软件,2015-10-22
300456.SZ,耐威科技,2017-3-30
300467.SZ,迅游科技,2017-9-4
300552.SZ,万集科技,2017-8-5
300661.SZ,圣邦股份,2017-8-11
600031.SH,三一重工,2012-12-6
600031.SH,三一重工,2016-10-19
600048.SH,保利地产,2016-6-7
600048.SH,保利地产,2011-12-24
600060.SH,海信电器,2009-4-25
600067.SH,冠城大通,2010-7-29
600077.SH,宋都股份,2012-2-14
600122.SH,宏图高科,2013-10-24
600122.SH,宏图高科,2015-7-11
600143.SH,金发科技,2006-5-23
600143.SH,金发科技,2010-9-28
600180.SH,瑞茂通,2015-9-12
600180.SH,瑞茂通,2012-12-14
600183.SH,生益科技,2013-8-7
600208.SH,新湖中宝,2011-9-6
600208.SH,新湖中宝,2015-12-4
600208.SH,新湖中宝,2008-5-30
600209.SH,罗顿发展,2016-1-16
600240.SH,华业资本,2011-5-5
600260.SH,凯乐科技,2006-12-5
600277.SH,亿利洁能,2015-1-15
600282.SH,南钢股份,2017-3-29
600315.SH,上海家化,2015-3-19
600352.SH,浙江龙盛,2008-6-3
600356.SH,恒丰纸业,2010-6-3
600360.SH,华微电子,2015-8-26
600381.SH,青海春天,2012-3-29
600383.SH,金地集团,2010-1-15
600446.SH,金证股份,2011-9-27
600477.SH,杭萧钢构,2014-5-17
600477.SH,杭萧钢构,2010-6-25
600478.SH,科力远,2008-9-10
600482.SH,中国动力,2016-12-6
600485.SH,信威集团,2008-7-11
600496.SH,精工钢构,2010-7-28
600498.SH,烽火通信,2009-2-14
600499.SH,科达洁能,2007-1-16
600499.SH,科达洁能,2012-2-21
600507.SH,方大特钢,2012-4-7
600516.SH,方大炭素,2017-3-17
600521.SH,华海药业,2010-3-3
600523.SH,贵航股份,2014-9-16
600557.SH,康缘药业,2017-6-13
600567.SH,山鹰纸业,2016-9-2
600580.SH,卧龙电气,2008-7-10
600588.SH,用友网络,2017-5-24
600588.SH,用友网络,2011-4-6
600588.SH,用友网络,2013-10-26
600681.SH,百川能源,2016-12-22
600688.SH,上海石化,2014-8-18
600690.SH,青岛海尔,2009-5-13
600690.SH,青岛海尔,2012-5-4
600690.SH,青岛海尔,2014-4-12
600690.SH,青岛海尔,2011-1-15
600693.SH,东百集团,2010-6-30
