000002.SZ,万科A,2006-4-28
000002.SZ,万科A,2011-3-23
000006.SZ,深振业A,2006-2-24
000008.SZ,神州高铁,2016-10-22
000012.SZ,南玻A,2008-4-11
000036.SZ,华联控股,2015-4-20
000039.SZ,中集集团,2010-9-2
000042.SZ,中洲控股,2015-7-31
000046.SZ,泛海控股,2006-9-28
000056.SZ,皇庭国际,2017-6-10
000061.SZ,农产品,2005-7-14
000063.SZ,中兴通讯,2017-4-25
000063.SZ,中兴通讯,2013-8-27
000063.SZ,中兴通讯,2006-10-26
000069.SZ,华侨城A,2006-6-2
000069.SZ,华侨城A,2015-9-11
000078.SZ,海王生物,2015-4-22
000100.SZ,TCL集团,2011-1-29
000333.SZ,美的集团,2015-4-29
000333.SZ,美的集团,2017-3-31
000333.SZ,美的集团,2014-1-13
000333.SZ,美的集团,2016-5-26
000333.SZ,美的集团,2017-3-31
000413.SZ,东旭光电,2014-8-19
000501.SZ,鄂武商A,2014-9-23
000513.SZ,丽珠集团,2015-1-26
000523.SZ,广州浪奇,2012-6-29
000530.SZ,大冷股份,2014-12-10
000530.SZ,大冷股份,2016-8-26
000534.SZ,万泽股份,2012-10-18
000540.SZ,中天金融,2015-10-19
000540.SZ,中天金融,2013-7-18
000540.SZ,中天金融,2013-7-18
000546.SZ,金圆股份,2015-7-15
000558.SZ,莱茵体育,2015-8-1
000560.SZ,昆百大A,2013-4-18
000561.SZ,烽火电子,2017-4-12
000566.SZ,海南海药,2006-9-29
000568.SZ,泸州老窖,2010-1-23
000609.SZ,绵石投资,2016-2-27
000609.SZ,绵石投资,2016-2-27
000612.SZ,焦作万方,2014-1-21
000615.SZ,京汉股份,2017-8-18
000615.SZ,京汉股份,2017-8-18
000625.SZ,长安汽车,2016-3-31
000650.SZ,仁和药业,2013-1-23
000651.SZ,格力电器,2005-12-23
000656.SZ,金科股份,2015-11-20
000667.SZ,美好置业,2012-6-27
000669.SZ,金鸿控股,2015-7-23
000671.SZ,阳光城,2012-7-24
